Time_UTC,Azimuth_deg,Elevation_deg,Range_m,Doppler_Hz
2026-07-27 21:27:31,231.497404197186,0.0577898750148617,966149.054010052,2493.71330781224
2026-07-27 21:27:32,231.526740846105,0.126053616689717,958691.358760229,2493.63086519984
2026-07-27 21:27:33,231.556504671669,0.194860201697167,951233.917826003,2493.54309105271
2026-07-27 21:27:34,231.586705826808,0.264222444230511,943776.74770736,2493.44984381679
2026-07-27 21:27:35,231.617354786387,0.33415356658891,936319.864991374,2493.35097630616
2026-07-27 21:27:36,231.648462363677,0.404667212975205,928863.286621299,2493.2463354237
2026-07-27 21:27:37,231.680039723951,0.47577746546313,921407.030007437,2493.13576187522
2026-07-27 21:27:38,231.712099088453,0.547498744604499,913951.125270434,2493.01908814019
2026-07-27 21:27:39,231.744650998784,0.619846289742399,906495.5668996,2492.89614503422
2026-07-27 21:27:40,231.77770844336,0.692835492814489,899040.385725164,2492.76675109557
2026-07-27 21:27:41,231.811284150408,0.766482369895715,891585.601476842,2492.63071902907
2026-07-27 21:27:42,231.845391275943,0.840803472679886,884131.234390069,2492.48785365406
2026-07-27 21:27:43,231.880043424687,0.915815913406447,876677.304984657,2492.33795149433
2026-07-27 21:27:44,231.915254678355,0.991537382145551,869223.834720151,2492.1808003328
2026-07-27 21:27:45,231.951039596209,1.06798617477264,861770.845691053,2492.01617881187
2026-07-27 21:27:46,231.987413985625,1.14518109577862,854318.372604305,2491.84385400203
2026-07-27 21:27:47,232.024392010374,1.22314198096347,846866.414666077,2491.6635884698
2026-07-27 21:27:48,232.061990549819,1.30188898359018,839415.007973994,2491.47512848784
2026-07-27 21:27:49,232.10022637142,1.38144309353261,831964.177784596,2491.2782108546
2026-07-27 21:27:50,232.139116824025,1.46182605860334,824513.949415372,2491.07256055696
2026-07-27 21:27:51,232.178679909312,1.54306040453705,817064.349569289,2490.85789001543
2026-07-27 21:27:52,232.218934291735,1.62516947786408,809615.405669522,2490.63389844213
2026-07-27 21:27:53,232.259900099427,1.70817734692658,802167.158183018,2490.40026903038
2026-07-27 21:27:54,232.301595901045,1.79210937787698,794719.612209262,2490.15667641419
2026-07-27 21:27:55,232.344043308809,1.87699147608315,787272.809987647,2489.90277353341
2026-07-27 21:27:56,232.387263993529,1.96285065729401,779826.783056244,2489.63819887427
2026-07-27 21:27:57,232.431280444427,2.04971496549269,772381.564004574,2489.36257359263
2026-07-27 21:27:58,232.476116049537,2.13761352517434,764937.18625961,2489.07550037961
2026-07-27 21:27:59,232.521795116957,2.22657658582876,757493.684769563,2488.77656246119
2026-07-27 21:28:00,232.568342930908,2.31663557944794,750051.095826613,2488.46532241041
2026-07-27 21:28:01,232.615786596681,2.40782303791026,742609.468634097,2488.14131865221
2026-07-27 21:28:02,232.6641518705,2.50017323159782,735168.818014481,2487.80407326409
2026-07-27 21:28:03,232.713468068836,2.59372135964965,727729.196504781,2487.4530768543
2026-07-27 21:28:04,232.763764866353,2.68850420369528,720290.646131112,2487.08779624713
2026-07-27 21:28:05,232.815073201463,2.78456005889304,712853.210292962,2486.70767046306
2026-07-27 21:28:06,232.86742533128,2.88192880505349,705416.934363667,2486.31210902506
2026-07-27 21:28:07,232.920854884696,2.98065199742503,697981.865142281,2485.90049012688
2026-07-27 21:28:08,232.975397824797,3.08077277901147,690548.064009068,2485.47215601431
