Time_UTC,Azimuth_deg,Elevation_deg,Range_m,Doppler_Hz
2026-07-20 04:12:19,40.0104336660621,-0.311327310180277,3090963.10488653,NaN
2026-07-20 04:12:20,40.1087314634309,-0.267907301859992,3086055.32979108,NaN
2026-07-20 04:12:21,40.2073299502473,-0.224480035486361,3081154.35960123,NaN
2026-07-20 04:12:22,40.3062302652239,-0.181045793352767,3076260.23315436,NaN
2026-07-20 04:12:23,40.4054334301996,-0.137604773341227,3071372.97956138,NaN
2026-07-20 04:12:24,40.5049408211017,-0.0941574403302066,3066492.6575858,NaN
2026-07-20 04:12:25,40.6047534655632,-0.0507040021606122,3061619.29688694,NaN
2026-07-20 04:12:26,40.704872506591,-0.00724475612621609,3056752.93687913,NaN
2026-07-20 04:12:27,40.8052990918092,0.0362199944296177,3051893.61736768,1619.73909046739
2026-07-20 04:12:28,40.9060343695155,0.0796899434065681,3047041.37817718,1617.37057619002
2026-07-20 04:12:29,41.0070794892679,0.1231647787658,3042196.25950217,1614.98865418345
2026-07-20 04:12:30,41.1084356020449,0.166644185600831,3037358.30156077,1612.59326124569
2026-07-20 04:12:31,41.2101037423836,0.210127934049427,3032527.53486801,1610.18434070743
2026-07-20 04:12:32,41.3120853021464,0.253615518960055,3027704.02010411,1607.76181541031
2026-07-20 04:12:33,41.4143813168361,0.297106702400292,3022887.7880547,1605.32562841393
2026-07-20 04:12:34,41.5169929437567,0.340601150073298,3018078.87987068,1602.87571571825
2026-07-20 04:12:35,41.6199213408546,0.384098524795675,3013277.33670881,1600.41201321598
2026-07-20 04:12:36,41.7231676672691,0.42759848325819,3008483.20008471,1597.93445658404
2026-07-20 04:12:37,41.8267330834666,0.471100678349275,3003696.51161232,1595.44298134522
2026-07-20 04:12:38,41.9306186294984,0.514604851916485,2998917.30285518,1592.93752978983
2026-07-20 04:12:39,42.0348257084729,0.558110460358681,2994145.63628765,1590.41802332445
2026-07-20 04:12:40,42.1393553618292,0.601617235831291,2989381.54386157,1587.88440393048
2026-07-20 04:12:41,42.2442087550642,0.645124811500338,2984625.06803703,1585.33660641523
2026-07-20 04:12:42,42.3493870521434,0.688632815925148,2979876.25143917,1582.77456552022
2026-07-20 04:12:43,42.45489141731,0.732140874135986,2975135.13673665,1580.19821588789
2026-07-20 04:12:44,42.5607230181689,0.775648603357081,2970401.76710182,1577.60749183559
2026-07-20 04:12:45,42.6668830192167,0.819155618673861,2965676.18559086,1575.00232774452
2026-07-20 04:12:46,42.7733724680615,0.862661624003395,2960958.42532161,1572.38266461744
2026-07-20 04:12:47,42.8801927729636,0.906166031770459,2956248.55054027,1569.74842260048
2026-07-20 04:12:48,42.9873449793506,0.94966853650206,2951546.59464776,1567.09954255284
2026-07-20 04:12:49,43.094830256843,0.993168730632889,2946852.60171836,1564.4359581159
2026-07-20 04:12:50,43.2026497712846,1.03666620339682,2942166.61580452,1561.75760299914
2026-07-20 04:12:51,43.3108046931905,1.0801605361266,2937488.68143688,1559.06441055208
2026-07-20 04:12:52,43.4192961877012,1.12365130713117,2932818.84309647,1556.35631425849
2026-07-20 04:12:53,43.5281253047347,1.16713818656943,2928157.13508806,1553.63325423398
2026-07-20 04:12:54,43.6372934517015,1.21062054408602,2923503.62341957,1550.89514970029
2026-07-20 04:12:55,43.7468016749696,1.25409803975344,2918858.34268892,1548.14194068877
2026-07-20 04:12:56,43.8566511431189,1.29757022806345,2914221.33838699,1545.37356003127
2026-07-20 04:12:57,43.9668430207158,1.34103666017915,2909592.65596599,1542.58994064758
2026-07-20 04:12:58,44.0773784762264,1.38449687888267,2904972.34137109,1539.79101512844
2026-07-20 04:12:59,44.1882586730581,1.42795042402816,2900360.44045747,1536.9767162053
2026-07-20 04:13:00,44.2994847773402,1.47139682780794,2895756.99948688,1534.14697634692
2026-07-20 04:13:01,44.411057832216,1.51483571859648,2891162.05418868,1531.30173503659
2026-07-20 04:13:02,44.5229792404883,1.5582664160586,2886575.6724006,1528.44091067621
2026-07-20 04:13:03,44.6352500453679,1.60168853601073,2881997.8903297,1525.56444250675
2026-07-20 04:13:04,44.7478714073627,1.64510158779023,2877428.75499063,1522.67226277175
2026-07-20 04:13:05,44.860844484967,1.68850507568633,2872868.31350459,1519.76430370427
2026-07-20 04:13:06,44.974170438286,1.73189849619386,2868316.613382,1516.84049732663
2026-07-20 04:13:07,45.0878504224183,1.77528134208936,2863773.7020913,1513.90077579855
2026-07-20 04:13:08,45.2018854742529,1.81865320093865,2859239.61680782,1510.94507807765
2026-07-20 04:13:09,45.3162769871637,1.86201334538557,2854714.42705041,1507.97332208706
2026-07-20 04:13:10,45.4310259924492,1.90536135188467,2850198.17025168,1504.98544682071
2026-07-20 04:13:11,45.5461336423214,1.94869668657953,2845690.89489111,1501.98138408916
2026-07-20 04:13:12,45.6616010830865,1.99201881077335,2841192.64950029,1498.9610658568
2026-07-20 04:13:13,45.7774294624346,2.03532717736456,2836703.4830267,1495.92442388933
2026-07-20 04:13:14,45.8936199220528,2.07862123519231,2832223.44437966,1492.87139013602
2026-07-20 04:13:15,46.0101734858601,2.12190053051325,2827752.57199592,1489.80190339133
2026-07-20 04:13:16,46.1270915322283,2.16516428609272,2823290.93711959,1486.71588136285
2026-07-20 04:13:17,46.2443750772307,2.20841203622429,2818838.57846479,1483.61326298095
2026-07-20 04:13:18,46.3620252562384,2.25164320162778,2814395.54596455,1480.49398001273
2026-07-20 04:13:19,46.4800431984621,2.29485719810738,2809961.88957892,1477.35796440731
2026-07-20 04:13:20,46.5984300337393,2.33805343310313,2805537.65964263,1474.20514796534
2026-07-20 04:13:21,46.717186886777,2.38123130866469,2801122.9065564,1471.03546262644
2026-07-20 04:13:22,46.8363148795771,2.42439021857072,2796717.68107579,1467.84884031089
2026-07-20 04:13:23,46.9558150109107,2.46752966041684,2792322.02294123,1464.64522014193
2026-07-20 04:13:24,47.0756886353948,2.51064879688524,2787936.00537193,1461.42451992614
2026-07-20 04:13:25,47.1959367451527,2.55374710985791,2783559.66868848,1458.18667883477
2026-07-20 04:13:26,47.3165604476676,2.59682396740144,2779193.06426523,1454.93162906738
2026-07-20 04:13:27,47.4375608462694,2.63987872922825,2774836.24381423,1451.65930287156
2026-07-20 04:13:28,47.5589390427443,2.6829107475315,2770489.25929488,1448.36963247374
2026-07-20 04:13:29,47.6806961308073,2.72591936943813,2766152.16266294,1445.06255038078
2026-07-20 04:13:30,47.8028330846563,2.76890404434033,2761824.99511799,1441.73799612696
2026-07-20 04:13:31,47.9253512283961,2.81186387976323,2757507.83159626,1438.39588807052
2026-07-20 04:13:32,48.0482515258489,2.85479831190143,2753200.71355364,1435.03616604252
2026-07-20 04:13:33,48.1715350542449,2.8977066573929,2748903.69390929,1431.65876287795
2026-07-20 04:13:34,48.2952028864402,2.94058822611704,2744616.82572462,1428.26361153418
2026-07-20 04:13:35,48.4192560904521,2.98344231895245,2740340.16242186,1424.85064505515
2026-07-20 04:13:36,48.5436957281952,3.02626823242059,2736073.75731726,1421.41979673772
2026-07-20 04:13:37,48.6685228572967,3.06906525170343,2731817.66431025,1417.97099989461
2026-07-20 04:13:38,48.7937384115302,3.11183277301185,2727571.92579081,1414.50419524392
2026-07-20 04:13:39,48.9193436719539,3.15456983707972,2723336.61872496,1411.01930220127
2026-07-20 04:13:40,49.0453395608473,3.19727582374552,2719111.78599822,1407.51626180427
2026-07-20 04:13:41,49.1717271122473,3.23994999022189,2714897.48206795,1403.99500813859
2026-07-20 04:13:42,49.2985073539533,3.28259158432106,2710693.76175656,1400.45547544577
2026-07-20 04:13:43,49.4256813061134,3.32519984912538,2706500.6797878,1396.89759829463
2026-07-20 04:13:44,49.55324998535,3.36777401661723,2702318.29140744,1393.32131127789
2026-07-20 04:13:45,49.6812142819101,3.41031343180369,2698146.64026915,1389.72655653636
2026-07-20 04:13:46,49.8095754306387,3.45281707591537,2693985.80495715,1386.11325490871
2026-07-20 04:13:47,49.9383343092405,3.4952842761339,2689835.8296956,1382.48134891673
2026-07-20 04:13:48,50.0674919036646,3.53771423595315,2685696.77021284,1378.83077428712
2026-07-20 04:13:49,50.197049194085,3.58010614797233,2681568.68271382,1375.16146687954
2026-07-20 04:13:50,50.3270071516916,3.62245919937552,2677451.6233431,1371.47336294226
2026-07-20 04:13:51,50.4573667400466,3.66477256850662,2673345.64851344,1367.76639898324
2026-07-20 04:13:52,50.5881289159318,3.70704542340521,2669250.81504188,1364.04051170841
2026-07-20 04:13:53,50.7192945104223,3.74927704987638,2665167.16782796,1360.29564546805
2026-07-20 04:13:54,50.8508646950611,3.79146635669383,2661094.78745263,1356.53172326346
2026-07-20 04:13:55,50.9828402840934,3.83361261126871,2657033.71936802,1352.74869004078
2026-07-20 04:13:56,51.1152221998593,3.87571495097687,2652984.02094703,1348.94648386782
2026-07-20 04:13:57,51.2480113547825,3.91777250467449,2648945.74977343,1345.12504319147
2026-07-20 04:13:58,51.3812086526238,3.95978439395708,2644918.96351723,1341.28430682728
2026-07-20 04:13:59,51.5148149885647,4.00174972929326,2640903.72029978,1337.42421386797
2026-07-20 04:14:00,51.648831132076,4.04366774182411,2636900.06617012,1333.54471112648
2026-07-20 04:14:01,51.7832581869915,4.08553727603172,2632908.08330557,1329.64572417149
2026-07-20 04:14:02,51.9180969035105,4.12735754432255,2628927.81828081,1325.72720056073
2026-07-20 04:14:03,52.0533481361916,4.16912762595943,2624959.32971419,1321.78908109547
2026-07-20 04:14:04,52.1890127304023,4.21084659034661,2621002.67653367,1317.83130693209
2026-07-20 04:14:05,52.3250915176398,4.25251350102482,2617057.91759603,1313.85381985346
2026-07-20 04:14:06,52.4615853231427,4.29412740948385,2613125.11226654,1309.85656184843
2026-07-20 04:14:07,52.5984948439001,4.33568749058907,2609204.30771092,1305.8394827904
2026-07-20 04:14:08,52.7358211061966,4.37719252331611,2605295.58761778,1301.8025113908
2026-07-20 04:14:09,52.8735647858444,4.41864166374077,2601398.99962994,1297.7455984078
2026-07-20 04:14:10,53.0117266592237,4.46003393133792,2597514.6035869,1293.66868796209
2026-07-20 04:14:11,53.1503074926736,4.50136833573226,2593642.45961084,1289.57172459721
2026-07-20 04:14:12,53.2893080374991,4.54264387982339,2589782.62781228,1285.45465354132
2026-07-20 04:14:13,53.4287290343835,4.58385955748474,2585935.16850164,1281.31742049667
2026-07-20 04:14:14,53.5685712119365,4.62501435142553,2582100.14238439,1277.15997164799
2026-07-20 04:14:15,53.7088351733921,4.6661073715587,2578277.59776152,1272.9822610595
2026-07-20 04:14:16,53.8495218405207,4.70713732016317,2574467.62000433,1268.78422188813
2026-07-20 04:14:17,53.9906317918809,4.74810328812044,2570670.25786124,1264.56580929092
