Time_UTC,Azimuth_deg,Elevation_deg,Range_m,Doppler_Hz
2026-07-04 07:21:43,256.982013990505,0.0327412943517366,2494144.54660675,1951.89245865283
2026-07-04 07:21:44,256.901240385278,0.0853540561021133,2488295.28208737,1950.3831071303
2026-07-04 07:21:45,256.820076024179,0.138049937596506,2482450.56144375,1948.86092018685
2026-07-04 07:21:46,256.738518311133,0.190829219848531,2476610.42341528,1947.32579182582
2026-07-04 07:21:47,256.656564809258,0.24369204872204,2470774.92180572,1945.77761672796
2026-07-04 07:21:48,256.574212521601,0.296638972818292,2464944.06613983,1944.2162834567
2026-07-04 07:21:49,256.491458972479,0.349670134047582,2459117.91100744,1942.64168463478
2026-07-04 07:21:50,256.408301483071,0.402785809819856,2453296.49617462,1941.0537101268
2026-07-04 07:21:51,256.324737357926,0.455986273192724,2447479.86203117,1939.45224878253
2026-07-04 07:21:52,256.240763880039,0.509271796335645,2441668.04920453,1937.83718837892
2026-07-04 07:21:53,256.156378309271,0.562642651573997,2435861.09844224,1936.20841560098
2026-07-04 07:21:54,256.07157788961,0.616099105754483,2430059.0512199,1934.56581609918
2026-07-04 07:21:55,255.986360025951,0.669641290051249,2424261.96380873,1932.90927628521
2026-07-04 07:21:56,255.900721548325,0.723269741496688,2418469.84868003,1931.23867585491
2026-07-04 07:21:57,255.81465982087,0.776984585838305,2412682.76296563,1929.55389900801
2026-07-04 07:21:58,255.728171999719,0.830786084326955,2406900.74921914,1927.85482694299
2026-07-04 07:21:59,255.641255223959,0.884674492746138,2401123.85068638,1926.14133977581
2026-07-04 07:22:00,255.553906605198,0.93865006880823,2395352.11050493,1924.41331641902
2026-07-04 07:22:01,255.466123239538,0.992713063279863,2389585.57264878,1922.67063470427
2026-07-04 07:22:02,255.377902388105,1.04686358882902,2383824.2958505,1920.91317332188
2026-07-04 07:22:03,255.289240719694,1.10110216946933,2378068.29518228,1919.14080364952
2026-07-04 07:22:04,255.200135452985,1.15542891099206,2372317.63030017,1917.35340203053
2026-07-04 07:22:05,255.110583591876,1.20984405625303,2366572.34632754,1915.55084155448
2026-07-04 07:22:06,255.020582122579,1.26434784179109,2360832.48911583,1913.73299416584
2026-07-04 07:22:07,254.930128003154,1.31894050509782,2355098.10447004,1911.89973053369
2026-07-04 07:22:08,254.839218173103,1.37362227756194,2349369.23888467,1910.0509201545
2026-07-04 07:22:09,254.747849745087,1.42839324727072,2343645.95384774,1908.18643353614
2026-07-04 07:22:10,254.656019219137,1.48325392061947,2337928.26719411,1906.30613321949
2026-07-04 07:22:11,254.563723661622,1.53820437867113,2332216.24124158,1904.40988719753
2026-07-04 07:22:12,254.470959917976,1.59324484050197,2326509.92388597,1902.4975599613
2026-07-04 07:22:13,254.377724814519,1.64837551840699,2320809.36373628,1900.56901477669
2026-07-04 07:22:14,254.284015148827,1.70359662456965,2315114.60941482,1898.62411356672
2026-07-04 07:22:15,254.18982769844,1.75890836466149,2309425.71021072,1896.66271700463
